Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) THP from IP Exploris FAIMS,Area THP from IP Exploris FAIMS,#Peptides,#Unique,#Spec THP from IP Exploris FAIMS,PTM,Avg. Mass,Description
397,289,Q8TAB3|PCD19_HUMAN,143.50,20,20,5.0984E7,18,17,29,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Tyrosine oxidation to 2-aminotyrosine,126252,Protocadherin-19 OS=Homo sapiens OX=9606 GN=PCDH19 PE=1 SV=3
284,217,P06576|ATPB_HUMAN,143.37,51,51,1.2923E8,23,23,47,Oxidation (M); Deamidation (NQ),56560,ATP synthase subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3
334,242,Q13835|PKP1_HUMAN,143.25,40,40,7.2968E7,25,25,37,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q,82861,Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2
353,742,P61769|B2MG_HUMAN,143.23,61,61,2.7723E8,19,19,35,Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); Carbamylation,13715,Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1
359,261,P05023|AT1A1_HUMAN,143.01,27,27,5.88E7,25,13,33,Deamidation (NQ); Carbamidomethylation,112896,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1
357,238,A6NCN2|KR87P_HUMAN,142.54,58,58,2.2704E6,20,1,34,Acetylation (N-term); Deamidation (NQ); 2-amino-3-oxo-butanoic_acid; Dehydration; Diethylation,29117,Putative keratin-87 protein OS=Homo sapiens OX=9606 GN=KRT87P PE=5 SV=4
167,528,Q9HD89|RETN_HUMAN,142.53,81,81,9.5506E8,26,26,83,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Carbamidomethylation (DHKE  X@N-term); 2 more,11419,Resistin OS=Homo sapiens OX=9606 GN=RETN PE=1 SV=1
319,296,P21695|GPDA_HUMAN,142.44,80,80,1.4567E8,26,25,41,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from E; Dehydration,37568,Glycerol-3-phosphate dehydrogenase [NAD(+)]  cytoplasmic OS=Homo sapiens OX=9606 GN=GPD1 PE=1 SV=4
199,802,P01611|KVD12_HUMAN,142.43,65,65,3.8875E7,30,4,70,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Carbamidomethylation (DHKE  X@N-term); 3 more,12620,Immunoglobulin kappa variable 1D-12 OS=Homo sapiens OX=9606 GN=IGKV1D-12 PE=1 SV=2
199,803,A0A0C4DH73|KV112_HUMAN,142.43,65,65,3.8875E7,30,4,70,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Carbamidomethylation (DHKE  X@N-term); 3 more,12645,Immunoglobulin kappa variable 1-12 OS=Homo sapiens OX=9606 GN=IGKV1-12 PE=3 SV=1
165,444,P08729|K2C7_HUMAN,142.42,33,33,1.6036E6,28,5,83,Acetylation (N-term); Acetylation (K); Phosphorylation (STY); Carbamylation; Carbamidomethylation (DHKE  X@N-term); 3 more,51386,Keratin  type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5
288,321,P08603|CFAH_HUMAN,142.19,36,36,7.0829E7,33,28,46,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Myristoylation,139096,Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4
210,648,P01700|LV147_HUMAN,142.08,74,74,2.473E7,25,2,66,Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Methylation(KR); Dehydration; 5 more,12284,Immunoglobulin lambda variable 1-47 OS=Homo sapiens OX=9606 GN=IGLV1-47 PE=1 SV=2
287,768,A0A075B6K4|LV310_HUMAN,141.82,68,68,4.9061E7,24,8,47,Acetylation (N-term); Deamidation (NQ); Carbamidomethylation; Carbamylation; Formylation; 2 more,12441,Immunoglobulin lambda variable 3-10 OS=Homo sapiens OX=9606 GN=IGLV3-10 PE=3 SV=2
410,615,P04216|THY1_HUMAN,141.70,61,61,1.3647E8,16,16,28,Deamidation (NQ); Carbamidomethylation; Dehydration,17935,Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2
387,279,Q9UEF7|KLOT_HUMAN,141.68,36,36,6.8806E7,25,25,30,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q,116181,Klotho OS=Homo sapiens OX=9606 GN=KL PE=1 SV=2
312,1133,P60022|DEFB1_HUMAN,141.56,56,56,1.2451E9,16,16,42,Acetylation (N-term); Deamidation (NQ); Carbamidomethylation; Carbamylation; Carbamidomethylation (DHKE  X@N-term),7420,Beta-defensin 1 OS=Homo sapiens OX=9606 GN=DEFB1 PE=1 SV=1
224,310,P02753|RET4_HUMAN,141.56,73,73,3.4733E8,21,21,61,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q,23010,Retinol-binding protein 4 OS=Homo sapiens OX=9606 GN=RBP4 PE=1 SV=3
272,443,Q3SY84|K2C71_HUMAN,141.46,30,30,5.855E6,26,2,49,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Sodium adduct; 3 more,57292,Keratin  type II cytoskeletal 71 OS=Homo sapiens OX=9606 GN=KRT71 PE=1 SV=3
273,380,P0CG39|POTEJ_HUMAN,140.80,15,15,8.5288E5,21,1,49,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; 3 more,117390,POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1
241,478,Q14CN4|K2C72_HUMAN,140.66,26,26,4.3746E7,26,6,56,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 4 more,55877,Keratin  type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72 PE=1 SV=2
303,283,P34931|HS71L_HUMAN,140.36,31,31,1.8244E6,24,4,43,Oxidation (M); Carbamidomethylation; Ammonia-loss (N); Carbamylation; Methylation(KR); 2 more,70375,Heat shock 70 kDa protein 1-like OS=Homo sapiens OX=9606 GN=HSPA1L PE=1 SV=2
370,252,P30039|PBLD_HUMAN,140.20,77,77,1.3308E8,21,21,33,Oxidation (M); Deamidation (NQ); Carbamidomethylation; O-Diisopropylphosphorylation,31785,Phenazine biosynthesis-like domain-containing protein OS=Homo sapiens OX=9606 GN=PBLD PE=1 SV=2
472,356,Q13867|BLMH_HUMAN,139.73,35,35,6.5102E7,17,17,21,Acetylation (N-term); Oxidation (M); Carbamidomethylation; Pyro-glu from Q,52562,Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1
407,307,Q99536|VAT1_HUMAN,139.55,45,45,1.0023E8,16,16,28,Acetylation (N-term); Oxidation (M); Deamidation (NQ),41920,Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2
242,499,Q7RTS7|K2C74_HUMAN,139.42,25,25,8.5016E7,25,4,56,Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; Carbamylation; 5 more,57865,Keratin  type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=2
268,817,P01615|KVD28_HUMAN,138.53,65,65,3.9345E8,25,9,50,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 3 more,12957,Immunoglobulin kappa variable 2D-28 OS=Homo sapiens OX=9606 GN=IGKV2D-28 PE=1 SV=2
268,818,A0A075B6P5|KV228_HUMAN,138.53,65,65,3.9345E8,25,9,50,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 3 more,12957,Immunoglobulin kappa variable 2-28 OS=Homo sapiens OX=9606 GN=IGKV2-28 PE=3 SV=1
310,260,O43895|XPP2_HUMAN,138.45,45,45,7.397E7,21,21,42,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q,75625,Xaa-Pro aminopeptidase 2 OS=Homo sapiens OX=9606 GN=XPNPEP2 PE=1 SV=3
383,249,P07355|ANXA2_HUMAN,138.39,63,63,1.1103E8,22,22,30,Acetylation (N-term); Oxidation (M); Carbamidomethylation; Pyro-glu from Q,38604,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2
475,197,P55291|CAD15_HUMAN,138.24,31,31,4.2104E7,16,16,21,Deamidation (NQ); Carbamidomethylation,88916,Cadherin-15 OS=Homo sapiens OX=9606 GN=CDH15 PE=1 SV=1
393,637,P10153|RNAS2_HUMAN,138.05,48,48,1.8186E8,16,16,30,Oxidation (M); Carbamidomethylation; Carbamylation,18354,Non-secretory ribonuclease OS=Homo sapiens OX=9606 GN=RNASE2 PE=1 SV=2
222,618,P06312|KV401_HUMAN,137.95,57,57,6.1905E8,28,26,62,Oxidation (M); Acetylation (K); Deamidation (NQ); Dihydroxy; Carbamylation; 6 more,13380,Immunoglobulin kappa variable 4-1 OS=Homo sapiens OX=9606 GN=IGKV4-1 PE=1 SV=1
421,262,P18669|PGAM1_HUMAN,137.94,66,66,6.8231E7,15,15,27,Oxidation (M); Deamidation (NQ); Carbamidomethylation,28804,Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2
446,253,Q14697|GANAB_HUMAN,137.86,29,29,3.5608E7,19,19,24,Oxidation (M); Pyro-glu from Q,106874,Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3
459,221,Q6UVK1|CSPG4_HUMAN,137.80,13,13,4.7887E7,15,15,22,Deamidation (NQ); Carbamidomethylation; Biotinylation,250534,Chondroitin sulfate proteoglycan 4 OS=Homo sapiens OX=9606 GN=CSPG4 PE=1 SV=2
358,285,O75787|RENR_HUMAN,137.71,39,39,1.0116E8,14,14,34,Oxidation (M),39008,Renin receptor OS=Homo sapiens OX=9606 GN=ATP6AP2 PE=1 SV=2
326,894,A0A0C4DH67|KV108_HUMAN,136.72,58,58,3.4631E5,27,1,39,Deamidation (NQ); Carbamylation; Methylation(others); Mutation,12537,Immunoglobulin kappa variable 1-8 OS=Homo sapiens OX=9606 GN=IGKV1-8 PE=3 SV=1
431,406,Q9NY65|TBA8_HUMAN,136.44,32,32,,14,0,25,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Dihydroxy; Pyro-glu from Q,50094,Tubulin alpha-8 chain OS=Homo sapiens OX=9606 GN=TUBA8 PE=1 SV=1
479,421,Q8WWA0|ITLN1_HUMAN,136.40,49,49,3.7759E7,12,9,21,Carbamidomethylation; Pyro-carbamidomethyl,34962,Intelectin-1 OS=Homo sapiens OX=9606 GN=ITLN1 PE=1 SV=1
369,784,P01706|LV211_HUMAN,136.14,57,57,6.569E7,17,10,32,Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Methylation(others); Alpha-amino adipic acid; Mutation,12644,Immunoglobulin lambda variable 2-11 OS=Homo sapiens OX=9606 GN=IGLV2-11 PE=1 SV=2
375,223,P60174|TPIS_HUMAN,136.12,67,67,1.1323E8,17,17,32,Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; Tryptophan oxidation to kynurenin,30791,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3
483,349,P00491|PNPH_HUMAN,136.05,52,52,6.2477E7,16,16,20,Oxidation (M); Carbamidomethylation; Ubiquitin,32118,Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2
462,311,P18428|LBP_HUMAN,136.04,30,30,9.113E7,15,15,22,Deamidation (NQ); Carbamidomethylation; Sulphone,53384,Lipopolysaccharide-binding protein OS=Homo sapiens OX=9606 GN=LBP PE=1 SV=3
420,498,P50053|KHK_HUMAN,136.00,32,32,1.42E8,12,12,27,Deamidation (NQ); Carbamidomethylation; Carbamidomethylation (DHKE  X@N-term); Methylpyrroline,32523,Ketohexokinase OS=Homo sapiens OX=9606 GN=KHK PE=1 SV=2
429,243,O75487|GPC4_HUMAN,135.96,42,42,5.8667E7,18,18,25,Carbamidomethylation,62412,Glypican-4 OS=Homo sapiens OX=9606 GN=GPC4 PE=1 SV=4
379,276,Q58FF7|H90B3_HUMAN,135.74,23,23,6.2612E6,18,1,31,Deamidation (NQ); Dehydration,68325,Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens OX=9606 GN=HSP90AB3P PE=5 SV=1
262,766,P01703|LV140_HUMAN,135.70,63,63,5.704E8,21,16,51,Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Methylation(KR); Phosphorylation to pyridyl thiol; 5 more,12302,Immunoglobulin lambda variable 1-40 OS=Homo sapiens OX=9606 GN=IGLV1-40 PE=1 SV=2
327,319,P23526|SAHH_HUMAN,135.67,37,37,8.5179E7,23,21,39,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q,47716,Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4
349,347,P09211|GSTP1_HUMAN,135.41,70,70,2.1173E8,20,20,36,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation,23356,Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2
373,313,P54652|HSP72_HUMAN,135.31,23,23,0,22,1,32,Acetylation (N-term); Deamidation (NQ); Carbamidomethylation; Carbamylation,70021,Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1
415,278,P08582|TRFM_HUMAN,134.42,37,37,3.3234E7,20,20,27,Deamidation (NQ); Carbamidomethylation,80215,Melanotransferrin OS=Homo sapiens OX=9606 GN=MELTF PE=1 SV=2
292,391,Q9HB40|RISC_HUMAN,134.21,53,53,1.115E8,27,27,46,Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; Carbamidomethylation (DHKE  X@N-term),50831,Retinoid-inducible serine carboxypeptidase OS=Homo sapiens OX=9606 GN=SCPEP1 PE=1 SV=1
389,339,Q13509|TBB3_HUMAN,133.98,27,27,,15,0,30,Oxidation (M); Carbamidomethylation,50433,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2
331,420,P53990|IST1_HUMAN,133.97,35,35,1.6654E8,18,17,38,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from E,39751,IST1 homolog OS=Homo sapiens OX=9606 GN=IST1 PE=1 SV=1
391,257,P04040|CATA_HUMAN,133.61,51,51,4.3241E7,18,18,30,Acetylation (N-term); Oxidation (M); Carbamidomethylation,59756,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3
423,294,P05156|CFAI_HUMAN,133.06,37,37,5.0223E7,21,21,26,Deamidation (NQ); Carbamidomethylation,65750,Complement factor I OS=Homo sapiens OX=9606 GN=CFI PE=1 SV=2
513,329,Q14118|DAG1_HUMAN,132.40,18,18,8.3591E7,12,12,18,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Dihydroxy,97441,Dystroglycan OS=Homo sapiens OX=9606 GN=DAG1 PE=1 SV=2
464,233,P00738|HPT_HUMAN,132.03,55,55,7.6514E7,15,15,22,Oxidation (M); Deamidation (NQ); Carbamidomethylation,45205,Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1
329,938,P01717|LV325_HUMAN,131.62,56,56,9.0545E6,19,4,39,Acetylation (N-term); Deamidation (NQ); Carbamidomethylation; Dihydroxy; Pyro-glu from Q; 4 more,12011,Immunoglobulin lambda variable 3-25 OS=Homo sapiens OX=9606 GN=IGLV3-25 PE=1 SV=2
540,470,P98095|FBLN2_HUMAN,131.40,13,13,1.1935E8,13,13,17,Acetylation (N-term); Oxidation (M); Carbamidomethylation,126573,Fibulin-2 OS=Homo sapiens OX=9606 GN=FBLN2 PE=1 SV=2
660,510,Q86UX2|ITIH5_HUMAN,131.21,20,20,1.6167E7,11,11,12,Deamidation (NQ),104576,Inter-alpha-trypsin inhibitor heavy chain H5 OS=Homo sapiens OX=9606 GN=ITIH5 PE=2 SV=2
388,360,P08185|CBG_HUMAN,130.91,33,33,6.7722E7,16,13,30,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamylation,45141,Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1
514,256,Q24JP5|T132A_HUMAN,130.89,21,21,2.5814E7,14,14,18,Carbamidomethylation,110110,Transmembrane protein 132A OS=Homo sapiens OX=9606 GN=TMEM132A PE=1 SV=1
498,323,P00751|CFAB_HUMAN,130.73,28,28,3.6307E7,18,18,19,Carbamidomethylation; Pyro-glu from Q,85533,Complement factor B OS=Homo sapiens OX=9606 GN=CFB PE=1 SV=2
570,390,P02671|FIBA_HUMAN,130.58,13,13,5.5294E7,10,10,15,Oxidation (M); Deamidation (NQ); Carbamidomethylation,94973,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2
398,316,Q09328|MGT5A_HUMAN,130.43,29,29,4.3319E7,17,17,29,Oxidation (M); Deamidation (NQ); Carbamidomethylation,84543,Alpha-1 6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A OS=Homo sapiens OX=9606 GN=MGAT5 PE=1 SV=1
416,332,Q9UBQ7|GRHPR_HUMAN,130.29,53,53,9.6402E7,16,16,27,Oxidation (M); Deamidation (NQ); Carbamidomethylation,35668,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens OX=9606 GN=GRHPR PE=1 SV=1
364,308,Q6Q788|APOA5_HUMAN,129.96,55,55,2.2131E8,14,14,33,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Carbamylation; Addition of Carbon to cysteine,41213,Apolipoprotein A-V OS=Homo sapiens OX=9606 GN=APOA5 PE=1 SV=1
556,410,Q9Y617|SERC_HUMAN,129.87,41,41,2.6557E7,13,13,16,Oxidation (M); Carbamidomethylation; Pyro-glu from Q,40423,Phosphoserine aminotransferase OS=Homo sapiens OX=9606 GN=PSAT1 PE=1 SV=2
378,835,P06310|KV230_HUMAN,129.38,72,72,7.0954E7,14,4,32,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Formylation; Methylation(others); Mutation,13185,Immunoglobulin kappa variable 2-30 OS=Homo sapiens OX=9606 GN=IGKV2-30 PE=3 SV=2
461,295,P13797|PLST_HUMAN,129.22,42,42,4.3791E7,18,14,22,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation,70811,Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4
102,710,Q7Z3Y7|K1C28_HUMAN,129.16,27,27,3.8247E7,27,8,152,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Ubiquitination; 13 more,50567,Keratin  type I cytoskeletal 28 OS=Homo sapiens OX=9606 GN=KRT28 PE=1 SV=2
481,490,Q7Z5N4|SDK1_HUMAN,129.14,8,8,4.2893E7,16,16,20,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Carbamidomethylation (DHKE  X@N-term); 2 more,242109,Protein sidekick-1 OS=Homo sapiens OX=9606 GN=SDK1 PE=2 SV=3
422,280,Q8TB96|TIP_HUMAN,129.05,30,30,7.4771E7,14,14,27,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q,68108,T-cell immunomodulatory protein OS=Homo sapiens OX=9606 GN=ITFG1 PE=1 SV=1
317,956,P01701|LV151_HUMAN,129.02,57,57,3.4145E8,15,11,41,Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Formylation; Propionamide; 4 more,12249,Immunoglobulin lambda variable 1-51 OS=Homo sapiens OX=9606 GN=IGLV1-51 PE=1 SV=2
470,455,P61626|LYSC_HUMAN,128.86,56,56,1.8166E8,11,11,22,Oxidation (M); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; Carbamidomethylation (DHKE  X@N-term),16537,Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1
283,805,P04430|KV116_HUMAN,128.41,65,65,5.6341E6,13,3,48,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Sodium adduct; 2 more,12618,Immunoglobulin kappa variable 1-16 OS=Homo sapiens OX=9606 GN=IGKV1-16 PE=1 SV=2
471,291,Q00610|CLH1_HUMAN,127.78,13,13,1.7693E7,15,9,21,Oxidation (M); Deamidation (NQ); Carbamidomethylation,191613,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5
451,400,P35443|TSP4_HUMAN,127.39,15,15,7.6761E7,12,7,23,Carbamidomethylation; Pyro-glu from Q; Sodium adduct; Propionamide; Mutation,105869,Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=2
239,794,A0A0B4J1X8|HV343_HUMAN,127.38,61,61,3.2239E6,30,2,57,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Carbamidomethylation (DHKE  X@N-term); 8 more,13077,Immunoglobulin heavy variable 3-43 OS=Homo sapiens OX=9606 GN=IGHV3-43 PE=3 SV=1
437,293,P09467|F16P1_HUMAN,127.36,52,52,6.0244E7,16,16,24,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamidomethylation (DHKE  X@N-term); Acetylation (Protein N-term),36842,Fructose-1 6-bisphosphatase 1 OS=Homo sapiens OX=9606 GN=FBP1 PE=1 SV=5
360,352,P17342|ANPRC_HUMAN,127.35,30,30,1.0523E8,20,19,33,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; Amidation,59808,Atrial natriuretic peptide receptor 3 OS=Homo sapiens OX=9606 GN=NPR3 PE=1 SV=2
336,937,P01602|KV105_HUMAN,127.35,52,52,2.8542E7,18,4,37,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Dehydration; 5 more,12782,Immunoglobulin kappa variable 1-5 OS=Homo sapiens OX=9606 GN=IGKV1-5 PE=1 SV=2
439,300,O43155|FLRT2_HUMAN,127.17,30,30,4.1831E7,18,18,24,Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid,74049,Leucine-rich repeat transmembrane protein FLRT2 OS=Homo sapiens OX=9606 GN=FLRT2 PE=1 SV=1
402,301,P05089|ARGI1_HUMAN,126.62,63,63,5.7751E7,17,17,28,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination,34735,Arginase-1 OS=Homo sapiens OX=9606 GN=ARG1 PE=1 SV=2
457,348,P62258|1433E_HUMAN,126.43,54,54,3.0002E7,14,12,22,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation,29174,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1
352,386,O95154|ARK73_HUMAN,126.35,38,38,4.1982E7,13,9,35,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Ubiquitin; Tyrosine oxidation to 2-aminotyrosine,37206,Aflatoxin B1 aldehyde reductase member 3 OS=Homo sapiens OX=9606 GN=AKR7A3 PE=1 SV=2
426,524,P19827|ITIH1_HUMAN,126.30,24,24,1.3617E8,21,21,24,Oxidation (M); Deamidation (NQ); Formylation; Mutation,101389,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3
366,317,Q14314|FGL2_HUMAN,126.17,37,37,9.8997E7,16,16,33,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-carbamidomethyl,50229,Fibroleukin OS=Homo sapiens OX=9606 GN=FGL2 PE=1 SV=1
403,342,P30613|KPYR_HUMAN,126.14,39,39,6.1169E7,20,18,28,Carbamidomethylation,61830,Pyruvate kinase PKLR OS=Homo sapiens OX=9606 GN=PKLR PE=1 SV=2
395,368,P40925|MDHC_HUMAN,125.93,42,42,1.5578E8,16,16,29,Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; Methylation(others),36426,Malate dehydrogenase  cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4
346,1276,A0A087WSZ0|KVD08_HUMAN,125.90,38,38,1.9074E6,25,1,36,Deamidation (NQ); Carbamylation; ISD (z+2)-series; Methylation(others); Mutation,12837,Immunoglobulin kappa variable 1D-8 OS=Homo sapiens OX=9606 GN=IGKV1D-8 PE=3 SV=6
330,1042,P01614|KVD40_HUMAN,125.88,51,51,3.8775E7,20,4,38,Acetylation (N-term); Deamidation (NQ); Carbamidomethylation; Carbamylation; Formylation; 2 more,13310,Immunoglobulin kappa variable 2D-40 OS=Homo sapiens OX=9606 GN=IGKV2D-40 PE=1 SV=2
330,1043,A0A087WW87|KV240_HUMAN,125.88,51,51,3.8775E7,20,4,38,Acetylation (N-term); Deamidation (NQ); Carbamidomethylation; Carbamylation; Formylation; 2 more,13310,Immunoglobulin kappa variable 2-40 OS=Homo sapiens OX=9606 GN=IGKV2-40 PE=3 SV=2
564,409,P15328|FOLR1_HUMAN,124.72,51,51,3.8119E7,11,11,16,Deamidation (NQ); Carbamidomethylation,29819,Folate receptor alpha OS=Homo sapiens OX=9606 GN=FOLR1 PE=1 SV=3
129,481,Q7Z3Z0|K1C25_HUMAN,124.69,25,25,3.5404E6,21,4,116,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Ammonia-loss (N); 2-amino-3-oxo-butanoic_acid; 12 more,49318,Keratin  type I cytoskeletal 25 OS=Homo sapiens OX=9606 GN=KRT25 PE=1 SV=1
436,399,P17066|HSP76_HUMAN,124.62,22,22,1.5517E7,17,1,24,Deamidation (NQ); Carbamidomethylation; Carbamylation,71028,Heat shock 70 kDa protein 6 OS=Homo sapiens OX=9606 GN=HSPA6 PE=1 SV=2
445,336,Q8IV08|PLD3_HUMAN,124.61,35,35,1.5235E8,18,18,24,Deamidation (NQ); Carbamidomethylation; Carboxymethyl,54705,5'-3' exonuclease PLD3 OS=Homo sapiens OX=9606 GN=PLD3 PE=1 SV=1
417,450,P28799|GRN_HUMAN,124.59,23,23,3.7761E8,12,12,27,Oxidation (M); Deamidation (NQ); Carbamidomethylation,63545,Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2
487,392,P31944|CASPE_HUMAN,124.50,52,52,5.1177E7,18,18,20,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination,27680,Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2
341,530,P22352|GPX3_HUMAN,124.15,42,42,1.9108E8,10,10,37,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Carbamylation; Diethylation,25552,Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2
586,489,P30711|GSTT1_HUMAN,123.97,49,49,4.3475E7,12,12,15,Oxidation (M); Carbamidomethylation; Pyro-glu from Q; Biotinylation,27335,Glutathione S-transferase theta-1 OS=Homo sapiens OX=9606 GN=GSTT1 PE=1 SV=4
574,305,O43490|PROM1_HUMAN,123.58,22,22,2.3094E7,13,13,15,Deamidation (NQ); Carbamidomethylation,97202,Prominin-1 OS=Homo sapiens OX=9606 GN=PROM1 PE=1 SV=1
447,374,P61158|ARP3_HUMAN,123.56,48,48,8.125E7,15,15,24,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q,47371,Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3
